
2020-02-01 12:08:59  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:59  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:59  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:59  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:08:59  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:00  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:00  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:00  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:00  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:00  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:00  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:00  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:00  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:00  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:00  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:00  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:00  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:01  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:01  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:01  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:01  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:01  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:01  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:01  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:01  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:01  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:01  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:01  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:13  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:23  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:23  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:35  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:36  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:36  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:36  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:36  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:36  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:36  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:36  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:36  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:36  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:36  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:36  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:36  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:37  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:37  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:37  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:37  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:37  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:37  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:37  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:37  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:37  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:37  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:37  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:37  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:38  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:38  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:38  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:38  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:38  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:38  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:38  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:38  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:38  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:38  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:38  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:38  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:38  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:39  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:39  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:44  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:44  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:44  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:44  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:44  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:44  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:44  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:44  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:44  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:44  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:45  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:45  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:45  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:45  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:45  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:45  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:45  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:45  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:45  | ERROR | Connection refused [tcp://127.0.0.1:6379]
2020-02-01 12:09:45  | ERROR | Connection refused [tcp://127.0.0.1:6379]
